title,doi
"Regression Shrinkage and Selection Via the Lasso","10.1111/j.2517-6161.1996.tb02080.x"
"The Mystery of the Z-Score.","10.12945/j.aorta.2016.16.014"
"Roles of dynamic and reversible histone acetylation in plant development and pol","10.1016/j.bbaexp.2007.04.007"
"Chemical inhibition of the histone acetyltransferase activity in Arabidopsis tha","10.1016/j.bbrc.2016.12.086"
"Emergence of a High-Plasticity Cell State during Lung Cancer Evolution.","10.1016/j.ccell.2020.06.012"
"Plant stem cell niches: standing the test of time.","10.1016/j.cell.2008.02.001"
"BASL controls asymmetric cell division in Arabidopsis.","10.1016/j.cell.2009.04.018"
"Nonstochastic reprogramming from a privileged somatic cell state.","10.1016/j.cell.2014.01.020"
"Transit-amplifying cells orchestrate stem cell activity and tissue regeneration.","10.1016/j.cell.2014.02.057"
"Highly Parallel Genome-wide Expression Profiling of Individual Cells Using Nanol","10.1016/j.cell.2015.05.002"
"Cistrome and Epicistrome Features Shape the Regulatory DNA Landscape.","10.1016/j.cell.2016.04.038"
"Root Regeneration Triggers an Embryo-like Sequence Guided by Hormonal Interactio","10.1016/j.cell.2016.04.046"
"The Root Cap Cuticle: A Cell Wall Structure for Seedling Establishment and Later","10.1016/j.cell.2019.01.005"
"Optimal-Transport Analysis of Single-Cell Gene Expression Identifies Development","10.1016/j.cell.2019.01.006"
"A Jasmonate Signaling Network Activates Root Stem Cells and Promotes Regeneratio","10.1016/j.cell.2019.03.006"
"Re-activation of Stem Cell Pathways for Pattern Restoration in Plant Wound Heali","10.1016/j.cell.2019.04.015"
"Genome-Scale Imaging of the 3D Organization and Transcriptional Activity of Chro","10.1016/j.cell.2020.07.032"
"Spatiotemporal transcriptomic atlas of mouse organogenesis using DNA nanoball-pa","10.1016/j.cell.2022.04.003"
"An Arabidopsis single-nucleus atlas decodes leaf senescence and nutrient allocat","10.1016/j.cell.2025.03.024"
"A genome-scale resource for the functional characterization of Arabidopsis trans","10.1016/j.celrep.2014.06.033"
"Molecular Mechanisms Driving Switch Behavior in Xylem Cell Differentiation.","10.1016/j.celrep.2019.06.041"
"Single-cell profiling of Arabidopsis leaves to Pseudomonas syringae infection.","10.1016/j.celrep.2023.112676"
"Cell-type-specific responses to fungal infection in plants revealed by single-ce","10.1016/j.chom.2023.08.019"
"Structure-function analyses reveal <i>Arabidopsis thaliana</i> HDA7 to be an ina","10.1016/j.crstbi.2024.100136"
"AP2/ERF转录因子WIND1控制拟南芥细胞去分化","10.1016/j.cub.2011.02.020"
"Rules and Self-Organizing Properties of Post-embryonic Plant Organ Cell Division","10.1016/j.cub.2015.12.047"
"Plant Stem Cells.","10.1016/j.cub.2016.07.070"
"Strigolactone- and Karrikin-Independent SMXL Proteins Are Central Regulators of","10.1016/j.cub.2017.03.014"
"植物的生长防御权衡","10.1016/j.cub.2022.04.070"
"The cellular basis for animal regeneration.","10.1016/j.devcel.2011.06.016"
"A bHLH complex controls embryonic vascular tissue establishment and indeterminat","10.1016/j.devcel.2012.12.013"
"Transcriptome dynamics of the stomatal lineage: birth, amplification, and termin","10.1016/j.devcel.2015.01.025"
"High-Resolution Expression Map of the Arabidopsis Root Reveals Alternative Splic","10.1016/j.devcel.2016.10.012"
"Faculty Opinions recommendation of Spatiotemporal Developmental Trajectories in","10.3410/f.735384662.793561483"
"Spatiotemporal Developmental Trajectories in the Arabidopsis Root Revealed Using","10.1016/j.devcel.2019.02.022"
"Chromatin Accessibility Dynamics and a Hierarchical Transcriptional Regulatory N","10.1016/j.devcel.2020.07.003"
"Single-cell RNA sequencing of developing maize ears facilitates functional analy","10.1016/j.devcel.2020.12.015"
"Plant glutamate receptors mediate a bet-hedging strategy between regeneration an","10.1016/j.devcel.2022.01.013"
"The single-cell stereo-seq reveals region-specific cell subtypes and transcripto","10.1016/j.devcel.2022.04.011"
"Mechanical conflict caused by a cell-wall-loosening enzyme activates de novo sho","10.1016/j.devcel.2022.07.017"
"Spatiotemporal transcriptomic landscape of rice embryonic cells during seed germ","10.1016/j.devcel.2024.05.016"
"Glutathione accelerates the cell cycle and cellular reprogramming in plant regen","10.1016/j.devcel.2024.12.019"
"Reactive oxygen species-dependent wound responses in animals and plants.","10.1016/j.freeradbiomed.2012.10.538"
"Responses of belowground fine root biomass and morphology in Robinia pseudoacaci","10.1016/j.gecco.2024.e02863"
"Evaluation of Cell Type Annotation R Packages on Single-cell RNA-seq Data.","10.1016/j.gpb.2020.07.004"
"A Survey on Methods for Predicting Polyadenylation Sites from DNA Sequences, Bul","10.1016/j.gpb.2022.09.005"
"Single-nucleus RNA sequencing of Nicotiana tabacum seedlings reveals heterogenei","10.1016/j.indcrop.2023.117825"
"Method selection in craniofacial measurements: advantages and disadvantages of 3","10.1016/j.jcms.2008.12.005"
"Histone deacetylation-mediated cellular dedifferentiation in Arabidopsis.","10.1016/j.jplph.2015.12.006"
"The technology and biology of single-cell RNA sequencing.","10.1016/j.molcel.2015.04.005"
"Advances and applications of single-cell sequencing technologies.","10.1016/j.molcel.2015.05.005"
"Comparative Analysis of Single-Cell RNA Sequencing Methods.","10.1016/j.molcel.2017.01.023"
"Single-Cell Alternative Splicing Analysis with Expedition Reveals Splicing Dynam","10.1016/j.molcel.2017.06.003"
"A Growing Toolbox to Image Gene Expression in Single Cells: Sensitive Approaches","10.1016/j.molcel.2018.07.022"
"Single-Cell Transcriptome Analysis in Plants: Advances and Challenges.","10.1016/j.molp.2020.10.012"
"Reconstruction of lateral root formation through single-cell RNA sequencing reve","10.1016/j.molp.2021.05.028"
"MINI-EX: Integrative inference of single-cell gene regulatory networks in plants","10.1016/j.molp.2022.10.016"
"Differentiation trajectories and biofunctions of symbiotic and un-symbiotic fate","10.1016/j.molp.2022.10.019"
